taxID	Scientific_Name	superkingdom	phylum	class	order	family	genus	species_group	species
2764718	Flavobacterium turcicum	2	976	117743	200644	49546	237		2764718
2781243	Tenacibaculum finnmarkense	2	976	117743	200644	49546	104267		2781243
531	Polaribacter irgensii	2	976	117743	200644	49546	52959		531
312277	Flavobacterium indicum	2	976	117743	200644	49546	237		312277
453852	Joostella marina	2	976	117743	200644	49546	453850		453852
475082	Muricauda lutimaris	2	976	117743	200644	49546	111500		475082
554283	Flavobacterium chungangense	2	976	117743	200644	49546	237		554283
691689	Lutibacter flavus	2	976	117743	200644	49546	358023		691689
712213	Capnocytophaga sp. oral taxon 332	2	976	117743	200644	49546	1016		712213
1355330	Flavobacterium faecale	2	976	117743	200644	49546	237		1355330
1635173	Tenacibaculum holothuriorum	2	976	117743	200644	49546	104267		1635173
2898423	Flavobacterium salilacus	2	976	117743	200644	49546	237		2898423
