taxID	Scientific_Name	superkingdom	phylum	class	order	family	genus	species_group	species
1131812	Flavobacterium sp. 83	2	976	117743	200644	49546	237		1131812
1137780	Polaribacter porphyrae	2	976	117743	200644	49546	52959		1137780
1150112	Myroides guanonis	2	976	117743	200644	49546	76831		1150112
1150368	Sinomicrobium oceani	2	976	117743	200644	49546	1434045		1150368
1159016	Flavobacterium marinum	2	976	117743	200644	49546	237		1159016
1189620	Flavobacterium sp. ACAM 123	2	976	117743	200644	49546	237		1189620
1202724	Flavobacterium akiainvivens	2	976	117743	200644	49546	237		1202724
1224947	Pustulibacterium marinum	2	976	117743	200644	49546	1649485		1224947
1227945	Robertkochia marina	2	976	117743	200644	49546	1649489		1227945
1236486	Flavobacterium aquaticum	2	976	117743	200644	49546	237		1236486
1250005	Polaribacter sp. Hel1_85	2	976	117743	200644	49546	52959		1250005
1250006	Polaribacter sp. Hel_I_88	2	976	117743	200644	49546	52959		1250006
1250059	Tenacibaculum sp. MAR_2009_124	2	976	117743	200644	49546	104267		1250059
1250198	Tenacibaculum sp. MAR_2010_89	2	976	117743	200644	49546	104267		1250198
1250232	Muricauda sp. MAR_2010_75	2	976	117743	200644	49546	111500		1250232
1265740	Flavobacterium cutihirudinis	2	976	117743	200644	49546	237		1265740
1270193	Flavobacterium sp. KJJ	2	976	117743	200644	49546	237		1270193
1298868	Flavobacterium sp. URHB0058	2	976	117743	200644	49546	237		1298868
1299341	Flavobacterium urocaniciphilum	2	976	117743	200644	49546	237		1299341
1306519	Flavobacterium commune	2	976	117743	200644	49546	237		1306519
1312072	Polaribacter sp. SA4-12	2	976	117743	200644	49546	52959		1312072
1316596	Capnocytophaga sp. oral taxon 878	2	976	117743	200644	49546	1016		1316596
1323422	Myroides indicus	2	976	117743	200644	49546	76831		1323422
1325435	Tenacibaculum caenipelagi	2	976	117743	200644	49546	104267		1325435
1333662	Polaribacter atrinae	2	976	117743	200644	49546	52959		1333662
1336804	Polaribacter sp. Hel1_33_78	2	976	117743	200644	49546	52959		1336804
1383885	Flagellimonas maritima	2	976	117743	200644	49546	444459		1383885
1393049	Flavobacterium daemonense	2	976	117743	200644	49546	237		1393049
1423322	Flavobacterium sp. ABG	2	976	117743	200644	49546	237		1423322
1423323	Flavobacterium sp. AED	2	976	117743	200644	49546	237		1423323
1476463	Flavobacterium palustre	2	976	117743	200644	49546	237		1476463
1478199	Flavobacterium notoginsengisoli	2	976	117743	200644	49546	237		1478199
1492737	Flavobacterium gilvum	2	976	117743	200644	49546	237		1492737
1492738	Flavobacterium seoulense	2	976	117743	200644	49546	237		1492738
1506583	Flavobacterium sp. ASV13	2	976	117743	200644	49546	237		1506583
1529069	Polaribacter sp. BM10	2	976	117743	200644	49546	52959		1529069
1540163	Flavobacterium endophyticum	2	976	117743	200644	49546	237		1540163
1563479	Flavobacterium dauae	2	976	117743	200644	49546	237		1563479
1566289	Lutibacter sp. Hel_I_33_5	2	976	117743	200644	49546	358023		1566289
1603293	Flavobacterium sp. 316	2	976	117743	200644	49546	237		1603293
1617283	Flavobacterium nitrogenifigens	2	976	117743	200644	49546	237		1617283
1648146	Flavobacterium buctense	2	976	117743	200644	49546	237		1648146
1677894	Flavobacterium lutivivi	2	976	117743	200644	49546	237		1677894
1678728	Flavobacterium kingsejongi	2	976	117743	200644	49546	237		1678728
1682742	Flavobacterium aquicola	2	976	117743	200644	49546	237		1682742
1685414	Flavobacterium tistrianum	2	976	117743	200644	49546	237		1685414
1699509	Flavobacterium sp. NLM	2	976	117743	200644	49546	237		1699509
1729581	Flavobacterium sp. TAB 87	2	976	117743	200644	49546	237		1729581
1736238	Flavobacterium sp. Leaf82	2	976	117743	200644	49546	237		1736238
1736485	Flavobacterium sp. Root186	2	976	117743	200644	49546	237		1736485
1736533	Flavobacterium sp. Root420	2	976	117743	200644	49546	237		1736533
1736605	Flavobacterium sp. Root901	2	976	117743	200644	49546	237		1736605
1736610	Flavobacterium sp. Root935	2	976	117743	200644	49546	237		1736610
1756020	Flavobacterium orientale	2	976	117743	200644	49546	237		1756020
