taxID	name	level	branch_length	source
357523	Flavobacterium sp. 11	species	0	Phylogeny Only
362413	Flavobacterium aquidurense	species	0.017365	Phylogeny Only
386300	Flavobacterium glaciei	species	0	Phylogeny Only
400055	Robiginitalea myxolifaciens	species	0	Phylogeny Only
416016	Flavobacterium cucumis	species	0	Phylogeny Only
428988	Flavobacterium lindanitolerans	species	0	Phylogeny Only
459526	Flavobacterium anhuiense	species	0.016485	Phylogeny Only
498292	Flavobacterium swingsii	species	0	Phylogeny Only
516051	Muricauda lutaonensis	species	0	Phylogeny Only
551990	Flavobacterium glycines	species	0	Phylogeny Only
555500	Galbibacter marinus	species	0	Phylogeny Only
584609	Tenacibaculum jejuense	species	0	Phylogeny Only
604089	Flavobacterium sinopsychrotolerans	species	0	Phylogeny Only
657326	Flavobacterium beibuense	species	0.0304	Phylogeny Only
669041	Tenacibaculum dicentrarchi	species	0.010895	Phylogeny Only
683124	Flavobacterium haoranii	species	0.049205	Phylogeny Only
687844	Flavobacterium ginsenosidimutans	species	0	Phylogeny Only
702745	Myroides phaeus	species	0.004265	Phylogeny Only
739143	Flavobacterium phragmitis	species	0	Phylogeny Only
754426	Tenacibaculum sp. SG-28	species	0	Phylogeny Only
913024	Flavobacterium ummariense	species	0	Phylogeny Only
935223	Flavobacterium xueshanense	species	0	Phylogeny Only
946677	Flavobacterium chilense	species	0	Phylogeny Only
985043	Polaribacter sejongensis	species	0	Phylogeny Only
1005926	Muricauda taeanensis	species	0	Phylogeny Only
1080225	Muricauda pacifica	species	0	Phylogeny Only
1114861	Flavobacterium collinsii	species	0.038365	Phylogeny Only
1114867	Flavobacterium plurextorum	species	0	Phylogeny Only
1124188	Flavobacterium fontis	species	0	Phylogeny Only
1128970	Flavobacterium noncentrifugens	species	0	Phylogeny Only
1131812	Flavobacterium sp. 83	species	0	Phylogeny Only
1137780	Polaribacter porphyrae	species	0	Phylogeny Only
1150112	Myroides guanonis	species	0	Phylogeny Only
1150368	Sinomicrobium oceani	species	0	Phylogeny Only
1189620	Flavobacterium sp. ACAM 123	species	0	Phylogeny Only
1202724	Flavobacterium akiainvivens	species	0	Phylogeny Only
1224947	Pustulibacterium marinum	species	0	Phylogeny Only
1227945	Robertkochia marina	species	0	Phylogeny Only
1236486	Flavobacterium aquaticum	species	0	Phylogeny Only
